scorer,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000
bodyparts,tail,tail,tail,spine4,spine4,spine4,spine3,spine3,spine3,spine2,spine2,spine2,spine1,spine1,spine1,head,head,head,nose,nose,nose,right ear,right ear,right ear,left ear,left ear,left ear
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
frame0000,837.0827463,473.7590649,0.49000001,891.419,272.5882597,0.987999976,886.9605195,302.5916883,0.941999972,886.5734026,326.6649351,0.871999979,883.791,355.7211429,0.845000029,876.774,394.781,0.879999995,867.1443582,407.5536623,0.992999971,871.8243582,384.3079481,0.99000001,884.38,390.9395821,0.973999977
frame0001,838.0309286,473.5636039,0.609499991,891.05,271.9991688,0.987999976,889.3364776,302.256,0.952000022,891.717,326.7967792,0.943000019,883.992,355.8146494,0.808000028,879.3263284,397.9740896,0.966000021,870.4595821,408.3886753,0.996999979,873.643,384.9990448,0.980000019,890.432,390.8009552,0.964999974
frame0002,837.9810065,473.4348571,0.596000016,890.846,271.6915325,0.989000022,890.466,302.5486753,0.961000025,891.735,327.0483117,0.976000011,891.957,356.206,0.708000004,882.733,397.9848358,0.975000024,875.295,408.3278961,0.999000013,874.807,384.9313433,0.991999984,892.008,391.1448358,0.966000021
frame0003,866.3816269,189.4797985,0.367500007,892.344,272.5761039,0.992999971,891.198,302.2391688,0.968999982,891.606,325.008,0.934000015,892.021,356.128,0.870000005,882.883,398.5651343,0.907000005,876.774,409.1479481,0.998000026,877.6192208,385.3149851,0.984000027,892.034,390.8912239,0.958999991
frame0004,868.9626493,193.9981119,0.380499989,890.618,277.695403,0.999000013,891.009,302.5570909,0.99000001,891.644,326.4587463,0.961000025,892.295,357.4026269,0.810000002,883.237,398.937039,0.981000006,879.1791045,414.373,0.998000026,875.536,386.709,0.992999971,894.1025455,392.8002078,0.958999991
frame0005,838.9544951,482.7046009,0.388499975,890.899,281.3984416,0.998000026,890.861,307.243,0.986000001,894.0885195,330.1651343,0.981999993,893.92,365.8040597,0.944000006,886.1806753,402.642,0.911000013,879.5014925,417.5527164,0.998000026,878.3102338,392.2298182,0.991999984,898.438,398.6920519,0.981999993
frame0006,868.7595224,199.9257313,0.693000019,890.301,287.4726234,0.998000026,891.214,310.9016104,0.986999989,894.3503377,332.8737662,0.964999974,895.7015065,370.8392727,0.912999988,886.953974,406.4727273,0.819999993,881.0220896,420.9281194,0.999000013,879.3752727,395.815,0.987999976,899.078,403.57,0.980000019
frame0007,866.7661418,210.9073582,0.703000009,890.747,291.2195821,0.998000026,890.856,317.6883117,0.978999972,898.0420299,342.0859701,0.985000014,894.571013,373.7079403,0.882000029,886.5462857,414.4852987,0.902999997,883.501,425.4143377,0.998000026,878.5047273,401.313039,0.972000003,898.5653731,407.6349851,0.980000019
frame0008,871.9267761,210.8461119,0.575500011,890.5443582,294.5745672,0.998000026,891.091,322.398806,0.98299998,898.2074805,348.4594286,0.976999998,899.288,382.3071045,0.930999994,887.0512208,415.4023881,0.782999992,883.645,431.506,0.999000013,882.362,408.2100779,0.981999993,898.8,413.8877922,0.984000027
frame0009,882.874,211.342,0.469000012,893.0870649,297.6461299,0.99000001,891.815,323.785,0.990999997,898.743,349.446,0.925999999,899.852,381.9449552,0.938000023,890.476,417.373,0.768000007,885.733,433.0875224,0.999000013,885.4915325,408.3793247,0.985000014,900.404,414.1683117,0.985000014
frame0010,885.9083247,211.8163312,0.291500002,899.799,295.8292987,0.987999976,891.257,323.54,0.985000014,898.354,348.7658507,0.947000027,899.426,385.2495584,0.936999977,893.0029091,417.347,0.97299999,888.1640597,432.58,0.999000013,888.7024478,408.3737143,0.986000001,902.6294026,411.408,0.989000022
frame0011,887.1503377,208.0531343,0.537999988,900.172,295.2804156,0.984000027,897.2242388,322.3257313,0.986999989,898.56,348.8260299,0.977999985,899.681,382.0266269,0.882000029,896.342026,414.1496104,0.99000001,890.122,432.09,0.999000013,890.963,407.4405195,0.995999992,906.493,409.176,0.987999976
frame0012,882.2835821,202.3419104,0.354000002,898.1086567,290.656,0.963999987,893.6359481,318.0455065,0.963999987,898.855,342.8368831,0.948000014,899.966,371.966,0.933000028,895.2012468,411.3059104,0.970000029,890.717,429.698,0.999000013,890.877,400.4976623,0.977999985,906.539,406.952597,0.990999997
frame0013,872.938,197.016,0.940999985,890.802,288.0816716,0.995000005,891.38,316.608,0.984000027,897.319,342.6458507,0.964999974,899.693,372.9449552,0.967999995,896.2914627,410.192597,0.991999984,890.876,421.7245714,0.999000013,890.827,399.4793766,0.990999997,907.391,402.616,0.995000005
frame0014,870.015,198.918,0.954999983,891.503,286.6525714,0.998000026,891.441,313.4170746,0.975000024,897.047,341.830209,0.971000016,899.493,371.449,0.967999995,899.094,408.0408312,0.995000005,891.982,420.8851343,1,890.985,398.8958961,0.986999989,907.913,400.4511045,0.995000005
frame0015,865.6132313,196.447,0.655499995,893.4938182,282.8552727,0.998000026,893.4208831,311.2036364,0.987999976,897.85,341.3192727,0.99000001,899.297,377.7204156,0.933000028,894.8945455,407.88,0.995000005,892.4045373,420.4575584,0.999000013,889.695,399.0540896,0.994000018,907.248,399.096,0.986999989
frame0016,865.9201418,196.5616343,0.671999991,893.5181299,282.8412468,0.998000026,891.497,313.1656119,0.973999977,897.626,341.6241039,0.99000001,899.565,378.057974,0.936999977,896.1109254,408.3933506,0.996999979,893.433,420.7801558,1,889.991,399.4882388,0.996999979,907.555,399.5602388,0.981000006
frame0017,863.6362597,197.5250149,0.708999991,892.298,283.841,0.996999979,891.8135065,315.567,0.990999997,897.199,341.7363117,0.991999984,899.843,377.8438442,0.902999997,897.645,410.4838209,0.999000013,894.845,422.6783377,1,890.08,399.2091429,0.996999979,907.401,399.7343284,0.990999997
frame0018,863.4078806,198.2106269,0.925999999,892.005,285.3687273,0.996999979,891.6321039,315.562,0.995000005,897.083,342.1533506,0.990999997,900.361,378.1224935,0.832000017,898.525,411.1157015,0.999000013,897.629,423.9294545,1,890.62,398.7453506,0.998000026,907.556,399.833194,0.990999997
frame0019,863.3033766,199.08,0.887000024,891.874,285.056,0.996999979,891.8406234,315.736,0.991999984,896.929791,342.0878961,0.990999997,899.63,372.8450149,0.943000019,899.1069851,411.167,0.999000013,898.715,424.2660779,1,890.548,398.5218701,0.999000013,907.513,400.2931343,0.985000014
frame0020,862.3842078,200.0328312,0.968999982,890.792,284.9844156,0.998000026,891.7527273,315.725,0.992999971,896.2979104,342.172987,0.995999992,899.571,372.9750448,0.938000023,899.1542687,411.3585672,0.999000013,898.458,423.894,1,890.315,398.4003117,0.999000013,907.777,400.0825075,0.986000001
frame0021,862.041974,200.4050149,0.954999983,890.438,284.8441558,0.999000013,891.7527273,315.951,0.994000018,896.4451343,342.1923582,0.994000018,900.575,380.561,0.926999986,899.558,408.4017662,0.999000013,896.331,422.8083117,1,890.285,398.2857313,0.998000026,908.41,399.3388657,0.990999997
frame0022,863.0586269,200.2309254,0.958999991,890.648,284.9002597,0.999000013,891.964987,315.974,0.992999971,896.3903284,342.1196883,0.990999997,900.325,380.768,0.931999981,898.978,408.4924675,1,895.064,422.1004675,1,890.251,398.926209,0.998000026,908.556,399.4667463,0.990999997
frame0023,861.9437922,200.1460299,0.949999988,890.594,285.101,0.999000013,891.6554805,315.965,0.991999984,896.7761194,342.0738701,0.994000018,900.515,382.5295522,0.963,898.48,408.7374545,0.999000013,894.296,422.5558442,1,890.046,395.311,0.996999979,908.234,399.5011343,0.992999971
frame0024,861.8558961,199.6022687,0.986999989,890.54,285.2733506,0.999000013,891.6751169,316.195,0.994000018,896.1098507,342.398,0.994000018,900.634,382.4779701,0.950999975,898.481,408.5373506,0.999000013,894.976,422.4501818,1,890.047,398.4555224,0.996999979,907.923,399.3334925,0.994000018
frame0025,862.2084156,199.5388657,0.967999995,890.232,285.051,0.999000013,891.662961,316.107,0.995000005,896.7266866,342.542,0.992999971,900.726,383.0324776,0.957000017,898.411,407.8248312,1,895.4736716,420.8895584,1,889.966,395.5698701,0.996999979,907.669,398.8327164,0.995000005
frame0026,863.2649552,200.6983881,0.939999998,890.929,285.687,0.999000013,892.7682078,311.5252987,0.986999989,897.019,340.8377143,0.990999997,899.783,370.816,0.949000001,898.745,405.7742338,0.999000013,894.98,418.8997403,1,891.72,392.374,0.999000013,907.859,398.6629254,0.996999979
frame0027,862.8641194,199.6667463,0.976999998,891.524,285.37,0.996999979,892.6644156,311.0680519,0.985000014,898.13,334.3838961,0.99000001,899.968,364.12,0.966000021,896.4773731,398.7705974,0.995000005,888.2303377,414.368,1,890.922,387.143,0.996999979,907.645,395.351,0.989000022
frame0028,862.7086753,199.6860896,0.984000027,891.454,285.3247792,0.995999992,897.5219104,311.0867532,0.998000026,898.465,333.630806,0.981000006,900.103,364.14,0.944000006,892.563,396.8865672,0.996999979,883.079,412.293,0.999000013,889.047403,384.0844675,0.998000026,906.3757612,393.712,0.996999979
frame0029,864.0741493,200.151403,0.952000022,891.696,284.848,0.995000005,897.5090149,310.6323117,0.998000026,898.3131429,334.8419104,0.990999997,898.973,374.3849552,0.981999993,885.8192239,397.3314627,0.999000013,879.2210149,411.904,0.998000026,882.179,386.104,0.994000018,902.6013506,393.935,0.998000026
frame0030,864.0813506,197.09,0.470999986,890.493,286.6086234,0.998000026,892.2137143,311.5411948,0.987999976,894.5580896,340.9405714,0.995999992,895.8777313,379.538,0.978999972,883.9235821,397.8881194,1,877.899,413.4938507,0.999000013,880.559,386.0658701,0.991999984,900.6404776,397.2483117,0.999000013
frame0031,862.632,196.472,0.688000023,890.489,286.3047273,0.998000026,892.6401039,313.6212537,0.97299999,894.6870448,342.2973506,0.992999971,891.87,379.229,0.97299999,881.713,399.6037403,0.998000026,871.972,414.745,0.999000013,877.1666494,385.6223284,0.995000005,897.345,397.8196364,0.998000026
frame0032,863.1521194,196.079,0.51700002,890.6,286.6020779,0.998000026,891.637,314.8592239,0.962000012,894.2099104,343.2417662,0.995000005,891.708,384.1181299,0.99000001,880.2623284,400.6313766,0.998000026,867.351,414.126806,0.999000013,874.098,386.2397922,0.999000013,894.5269254,400.9379104,0.999000013
frame0033,864.0402078,198.4534925,0.287999988,890.297,287.4305455,0.998000026,890.86,315.731,0.992999971,894.8197403,344.7874286,0.998000026,892.227,383.8470448,0.989000022,878.6440519,400.6351169,0.987999976,864.4376104,415.5592836,0.987999976,874.286,390.1948657,0.998000026,889.749,404.77,0.999000013
frame0034,864.432,198.4094328,0.702000022,889.997,289.7934545,0.998000026,892.0612987,316.585,0.996999979,895.4983881,346.0694026,0.995999992,892.129,384.7848312,0.952000022,872.234,405.6938182,0.975000024,860.4065455,417.0745075,0.975000024,872.1425455,391.423,0.996999979,888.715,406.614,0.998000026
frame0035,870.390806,198.9023377,0.453999996,890.58,290.592,0.996999979,892.5942857,317.6322078,0.987999976,898.079,348.019013,0.992999971,892.066,383.0034627,0.921999991,867.912,405.7153247,0.92900002,854.8968358,416.0611343,0.986000001,868.22,394.037,0.991999984,883.422,408.932,0.998000026
frame0036,873.227694,201.0911866,0.379500002,891,291.7558209,0.998000026,893.5555325,322.6631642,0.99000001,896.536,350.2821493,0.995999992,891.776,382.7616716,0.958000004,867.012,406.5737143,0.853999972,850.941,414.6096623,0.995999992,864.3235325,395.6699221,0.99000001,881.259,412.8741818,0.996999979
frame0037,884.168,212.07,0.182999998,891.672,293.4408358,0.995999992,893.4966234,322.5911642,0.984000027,895.5687273,355.5163636,0.998000026,888.4112239,387.473,0.980000019,864.2421818,407.3663284,0.796999991,846.052,415.6223377,0.989000022,863.3959481,398.4555224,0.987999976,875.121,412.0934026,0.99000001
frame0038,883.1071791,211.869403,0.263000011,891.288,294.992597,0.994000018,893.5845195,324.449,0.992999971,894.608597,356.1447273,0.998000026,885.8767792,390.6967164,0.980000019,860.367,411.8446753,0.873000026,845.8570746,420.751,0.986000001,858.791,400.1276418,0.994000018,874.279,414.2777143,0.998000026
frame0039,884.44,213.115,0.240999997,894.1745455,300.636,0.992999971,893.6443636,326.2796883,0.98299998,891.84,358.4318961,0.996999979,883.183,389.9820896,0.968999982,859.648,412.4459221,0.950999975,843.515,421.8610909,0.968999982,858.999,401.230209,0.987999976,874.016,414.9883636,0.998000026
frame0040,881.7259701,216.7952239,0.145999998,893.793039,302.42,0.994000018,890.253,331.936,0.981999993,891.4685373,359.1921039,0.991999984,880.8426269,389.9466269,0.963,856.5297662,412.9106494,0.952000022,842.988,421.8919481,0.954999983,858.978,401.0446753,0.990999997,873.659,415.4998442,0.998000026
