scorer,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000
bodyparts,tail,tail,tail,spine4,spine4,spine4,spine3,spine3,spine3,spine2,spine2,spine2,spine1,spine1,spine1,head,head,head,nose,nose,nose,right ear,right ear,right ear,left ear,left ear,left ear
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
frame0000,452.3684776,152.8335584,0.994000018,523.638806,125.1462857,0.999000013,,,,546.7980896,142.2376119,0.690999985,563.841,160.9835844,0.968999982,572.0840597,195.753,0.85799998,579.1078209,207.5414026,0.970000029,556.470806,183.8213731,0.630999982,579.872,168.8474805,0.935000002
frame0001,453.7879481,151.1887792,0.999000013,524.9186866,124.1083636,0.999000013,,,,548.042,138.7748571,0.754000008,563.4420779,158.6998209,0.986999989,572.961974,192.9847164,0.52700001,580.7444776,206.7129351,0.977999985,556.549,183.5242597,0.736999989,580.118,168.6296104,0.944999993
frame0002,453.5167792,150.4051948,0.998000026,525.231403,124.0157922,0.999000013,,,,547.578,139.738,0.662,563.551,155.604,0.963,578.681,188.8335584,0.490999997,580.6528831,204.396,0.977999985,556.872,183.2961039,0.509000003,580.463,168.6164776,0.944999993
frame0003,453.4868571,151.2420779,0.996999979,524.7005373,125.6437403,1,,,,547.299,139.909,0.514999986,563.401,158.2613731,0.913999975,580.121194,186.961,0.754999995,587.7827532,199.1940779,0.980000019,557.228,183.2184935,0.409000009,586.8841558,167.1184478,0.922999978
frame0004,453.0408312,151.7647792,0.990999997,524.9122388,125.4866494,0.999000013,,,,547.2945672,139.612,0.469000012,564.8783377,153.4357403,0.713999987,586.1650909,183.3162985,0.702000022,590.487,198.3487792,0.907000005,564.353194,183.1642597,0.526000023,587.4676364,160.2972468,0.763999999
frame0005,452.5854545,151.9181299,0.990999997,525.3732537,126.6179104,1,,,,542.649974,139.755,0.680999994,571.4629254,156.185,0.763000011,587.165,182.1395821,0.609000027,598.0553766,193.5843582,0.954999983,565.6740779,175.4621299,0.556999981,587.4984935,159.1855522,0.885999978
frame0006,452.8874805,151.444987,0.978999972,526.4371343,126.5942687,1,,,,547.6846567,139.405,0.809000015,572.384,153.1711169,0.926999986,588.196,177.7776716,0.568000019,597.1118961,189.8611948,0.779999971,572.7127164,175.8847792,0.735000014,588.8149254,151.0710448,0.805999994
frame0007,453.1951169,150.6997403,0.987999976,525.6193433,125.697974,1,538.623403,140.7299104,0.116999999,547.5105672,138.657039,0.901000023,572.1689552,153.5731948,0.924000025,589.1749254,175.6435325,0.676999986,601.2526567,190.4054026,0.561999977,572.278,175.8680597,0.855000019,588.6934925,153.3992727,0.898999989
frame0008,453.0268052,150.4491429,0.98299998,525.4785672,125.6867532,1,,,,554.0958806,139.363013,0.883000016,579.294806,155.145,0.972000003,596.825194,175.9810909,0.760999978,604.6517015,190.2913247,0.726000011,573.435,175.4768955,0.776000023,593.7868052,151.3063881,0.833999991
frame0009,453.2446753,151.3972987,0.987999976,525.8278209,126.8844179,1,,,,554.1098507,142.3945075,0.638999999,579.697791,158.328,0.977999985,596.7940299,175.1778701,0.822000027,612.2403117,189.9116883,0.741999984,580.7108571,175.6921558,0.778999984,595.63,152.3638209,0.839999974
frame0010,453.1137662,150.9952208,0.994000018,526.0620896,127.0402388,1,564.5083961,146.833526,0.226500005,571.3307463,151.433194,0.809000015,586.9337143,159.5928358,0.984000027,604.5657313,175.2227532,0.92900002,615.5354805,185.992,0.601000011,581.063,175.8519403,0.837000012,596.9562985,152.9946269,0.644999981
frame0011,453.5666866,150.796987,0.992999971,527.884,129.1980896,1,564.854026,147.07,0.173999995,571.096,151.9038806,0.873000026,587.505,159.6476418,0.994000018,605.2857313,179.344,0.981999993,619.0076418,188.9719481,0.984000027,587.736,176.6767792,0.950999975,602.2192208,156.286,0.941999972
frame0012,453.9965373,155.9401791,0.998000026,529.747,130.4199403,1,572.109,147.324,0.412,579.121791,151.5589254,0.809000015,590.1442388,163.495,0.992999971,609.5912727,183.225974,0.999000013,621.832,196.0101818,0.999000013,589.3791045,179.289,0.977999985,606.672,160.9425672,0.985000014
frame0013,455.1872239,162.0397612,0.999000013,530.302,129.3850746,1,580.1739481,149.9196104,0.634500027,579.942806,155.54,0.861000001,595.473,167.9675844,0.995000005,612.8339104,183.6934925,0.998000026,623.186,196.8068571,0.999000013,597.1184416,180.418,0.986999989,611.614,161.724,0.971000016
frame0014,455.897,166.6767761,1,530.2323117,129.214209,1,575.7598052,149.8456364,0.606000006,579.7880597,155.423,0.939999998,598.544597,167.9170909,0.998000026,613.7065075,183.2561194,0.995000005,623.566,197.5296623,0.994000018,596.9931429,182.8950448,0.984000027,611.598,159.2715224,0.978999972
frame0015,457.816,162.7461818,0.987999976,530.9083636,129.4699701,0.999000013,579.8805195,151.8555224,0.811999977,580.5080597,157.035,0.986000001,599.1044776,167.1737143,0.999000013,615.303403,183.5269254,0.986999989,626.797,199.3184416,0.963,598.5521194,182.7986494,0.981000006,611.898,160.3859104,0.976000011
frame0016,458.8344935,165.052,0.967999995,533.941,131.26,0.999000013,580.1526234,152.2842985,0.800999999,585.9023377,159.3080597,0.972000003,598.4048955,167.6244156,0.998000026,619.094,185.5020896,0.986999989,631.4269091,199.3551045,0.981999993,598.7079403,183.1698701,0.958000004,613.6710448,162.1795325,0.949000001
frame0017,462.361,167.5776623,1,535.418,134.919,0.999000013,580.3115844,151.8598209,0.296000004,586.3090909,159.1049552,0.874000013,598.1921194,167.8946494,0.994000018,616.7931429,186.355,0.930999994,628.8825974,203.053,0.856999993,598.8820299,183.5541818,0.893000007,613.6946866,163.573,0.92900002
frame0018,464.248,169.6373731,1,535.411,140.0063377,0.999000013,581.0164768,155.4135701,0.291000009,586.8523636,161.4174545,0.861999989,598.0706866,170.627,0.994000018,616.8043636,186.545,0.861000001,629.2117403,202.896,0.665000021,598.6617313,188.623,0.792999983,611.681,167.9142857,0.721000016
frame0019,462.4527761,172.5979701,1,538.0022687,143.3772468,0.999000013,584.3583012,159.9454251,0.219500005,587.2273247,163.543,0.523000002,596.4587463,174.6645195,0.985000014,620.222,189.2833247,0.846000016,629.4118442,202.766,0.713,598.5682388,191.390026,0.579999983,613.6624478,168.4061299,0.67900002
frame0020,462.412987,170.8092468,1,539.4379701,143.971013,1,587.0328312,161.6745974,0.200000003,587.021,163.639,0.813000023,597.0938507,174.5654026,0.984000027,614.3158209,193.1921194,0.870000005,623.429,211.2845373,0.941999972,599.8223284,191.3105455,0.889999986,612.766209,172.336,0.861000001
frame0021,462.974961,174.312,1,539.7872239,145.4409351,0.999000013,587.3198961,164.621,0.172000006,587.1917922,163.849,0.846000016,597.7515224,174.9478442,0.971000016,613.8945672,193.8003582,0.717999995,622.745,211.4801194,0.81400001,599.4784478,193.8046567,0.656000018,613.6312836,175.8969351,0.805999994
frame0022,465.3263284,172.5356418,1,542.2911045,146.1557015,0.995000005,580.8659104,163.086,0.270000011,580.412,167.76,0.769999981,599.4376119,182.6004156,0.957000017,615.0143284,200.2787532,0.953000009,622.545,213.6492468,0.903999984,597.2203636,199.3362078,0.888999999,614.5253731,179.99,0.915000021
frame0023,468.748,167.0334545,1,545.548,143.156,0.999000013,587.0767792,167.8703377,0.241999999,588.8267463,168.2027463,0.717000008,602.814,183.5597922,0.973999977,613.0767761,205.7273766,0.839999974,617.1743284,221.0764675,0.957000017,596.8108052,199.8355325,0.931999981,618.749,183.6009351,0.941999972
frame0024,470.498,161.2781299,1,550.641974,139.5370746,0.998000026,571.4543284,158.0367761,0.150000006,588.9374328,167.5085373,0.796000004,602.914,183.8562078,0.990999997,611.45,208.7677612,0.759000003,615.2335522,221.4729351,0.985000014,596.17,203.497,0.838999987,617.4822857,185.4537313,0.949999988
frame0025,474.52,150.7465075,0.998000026,555.526209,137.9906866,0.994000018,567.4792612,149.2893433,0.179000005,580.38,163.475,0.834999979,597.2346269,183.1558442,0.989000022,609.4126753,205.3617662,0.632000029,615.1090909,221.194,0.99000001,595.3913766,202.875,0.800999999,617.9928312,186.755,0.973999977
frame0026,476.328,143.333,0.996999979,558.3197922,140.3967761,0.990999997,563.6213731,149.9437612,0.173999995,580.2974328,159.1533134,0.593999982,596.9240597,179.935,0.952000022,606.2185075,210.0078806,0.488000005,612.5890909,221.428987,0.981999993,589.7627463,202.093,0.833000004,613.7903284,186.903,0.944999993
frame0027,477.0336623,148.536,0.989000022,558.9911688,140.3226269,0.989000022,571.5847015,149.0444328,0.149499997,580.4489552,159.1468657,0.606000006,596.9090149,183.182961,0.958999991,609.177039,205.2327273,0.433999985,612.4189091,221.0671169,0.973999977,589.9035224,202.292,0.841000021,614.5694328,184.0142338,0.847000003
frame0028,477.436,149.4408358,0.996999979,560.3190448,139.9862687,0.995000005,571.3241119,149.1029478,0.157499999,588.5935522,160.0742687,0.522000015,603.111,183.1838961,0.959999979,612.5362388,205.2916364,0.402999997,617.5504478,220.8772987,0.976999998,595.6148571,203.362,0.723999977,619.517,190.5437922,0.901000023
frame0029,478.55,150.145791,0.998000026,559.7962597,141.2081194,0.992999971,563.7073433,149.8803582,0.217999995,580.4414328,159.8346269,0.442999989,601.4515325,179.383,0.917999983,614.1524776,212.1,0.328000009,620.737791,220.765,0.953999996,596.877,203.8927792,0.532999992,624.4204675,184.8616119,0.815999985
frame0030,481.0298896,148.7909091,0.999500036,560.6256623,143.3992836,0.999000013,578.5672836,157.870209,0.561999977,594.8892468,166.8218507,0.726000011,605.9885373,183.0221299,0.975000024,621.1568955,211.125,0.579999983,625.5596418,225.9263284,0.883000016,604.845,204.5127273,0.893000007,623.7671642,187.737,0.985000014
frame0031,480.3837403,148.7152922,0.999500036,561.5064935,144.1923582,0.999000013,586.828,164.345,0.367000014,601.4870649,176.065791,0.991999984,615.9707463,191.7902338,0.990999997,626.763,213.3462857,0.994000018,632.7986494,227.998209,0.986999989,611.6643117,209.7983284,0.870000005,631.3669254,191.9117922,0.976000011
frame0032,481.6122985,153.2805195,1,563.73,145.873,0.998000026,593.294026,164.283,0.337000012,604.6044179,176.8525714,0.995000005,623.5071045,199.5783896,0.990999997,630.9818182,218.088,0.977999985,635.007,235.1753766,0.925000012,615.3098507,211.825,0.981000006,635.289,198.1533506,0.991999984
frame0033,480.8181493,160.215,0.999000013,564.034,148.4994627,0.994000018,602.4576623,169.3916883,0.130999997,606.879403,176.7847164,0.851000011,617.5935584,192.3399403,0.995999992,631.3782857,218.5318209,0.878000021,636.3897313,236.197,0.787,615.5322985,212.627,0.991999984,639.4282597,197.9663377,0.963999987
frame0034,481.014806,170.6883582,0.999000013,563.5252987,156.1175065,0.996999979,587.4754478,165.6192015,0.107000001,605.6478806,179.906,0.731000006,619.938,193.2157612,0.991999984,632.2663881,218.998209,0.838999987,639.726,235.9461493,0.828000009,615.4377313,214.3655065,0.927999973,640.3142687,201.3625075,0.959999979
frame0035,481.201791,179.74,0.999000013,562.943,158.8310649,1,617.3242597,177.0143377,0.225999996,606.1475821,180.299,0.774999976,620.625,195.447,0.99000001,639.2374925,220.1198961,0.714999974,640.544,235.3755224,0.874000013,617.9301818,218.8907463,0.555000007,639.6087273,201.7934328,0.93900001
frame0036,482.039,184.9838961,0.999000013,562.788,159.066,1,604.434,175.5628657,0.119999997,611.253,187.435,0.797999978,621.326,198.7256104,0.971000016,632.5769552,220.075,0.589999974,640.25,235.2014328,0.902999997,620.261,219.804,0.503000021,639.8901818,204.022,0.842999995
frame0037,483.431,178.385,0.998000026,569.664,159.6197015,0.998000026,595.736,176.3290746,0.101999998,607.0207792,186.718,0.860000014,620.534,198.9986494,0.943000019,636.371,220.043,0.788999975,640.143,235.088,0.82099998,615.7343284,219.845,0.689999998,640.7118806,203.935,0.778999984
frame0038,490.2705672,174.2643117,0.999000013,573.948,159.2768955,0.994000018,588.9782687,175.7906866,0.195999995,603.0271169,184.8772987,0.859000027,617.2690909,198.5554286,0.963999987,632.8380896,219.768,0.652999997,638.4884776,235.355,0.691999972,617.1400519,220.157,0.693000019,641.1986866,203.896,0.736000001
frame0039,499.165,160.3375522,0.999000013,582.5068657,159.364,0.98299998,592.8564552,169.5700299,0.78550005,603.293,182.123,0.930000007,619.81,197.7961558,0.98299998,632.289039,220.849,0.77700001,638.67,235.1401791,0.615999997,616.0835821,219.969,0.796000004,635.843,204.217,0.735000014
frame0040,507.326,152.2388571,0.999000013,588.3858701,158.1968955,0.954999983,602.0228571,168.0437015,0.375999987,606.0669851,175.7697662,0.842999995,619.406,195.384,0.952000022,631.4568312,215.288,0.363000005,639.1794627,228.6392727,0.546000004,617.4878961,219.385,0.852999985,640.313194,197.9036883,0.925000012
